2	ab	ady	ain	ale	arb	av	azj	ba	be	bg	bn	br	bsk	bua	ca	ce	ckt	cmn	cs	cv	cy	da	dar	ddo	de	ekk	el	en	enf	es	ess	eu	evn	fi	fr	ga	gld	he	hi	hr	hu	hy	is	it	itl	ja	ka	kca	ket	khk	kk	kl	kmr	kn	ko	koi	kpv	krl	la	lbe	lez	liv	lt	lv	mdf	mhr	ml	mnc	mns	mrj	myv	nio	niv	nl	no	olo	os	pbu	pes	pl	pt	ro	ru	sah	se	sel	sjd	sk	sl	sma	smj	smn	sms	sq	sv	ta	te	tr	tt	udm	uk	uzn	vep	xal	ykg	yrk	yux
Sehne::N	адаш	фэ	richi	igachi-x́	طنب		vətər	тарамыш, һеңер	цеціва, сухажылле, жыла	сухожилие, жила	কণ্ডরা	stir	jawá	шүрбэһэн	tendó	хьорзам	рытрыт	腱	šlacha	шӑнӑр	gewyn	sene	лапи	херо	Sehne	kõõlus	νεύρο, τένοντας	sinew	ты	tendón	ивалю	gihar-zain	сирэктэ	jänne	tendon	féitheog, teannán		גיד	स्नायु, कंडरा	tetiva	ín	ջիղ, ձգտան	sin	tèndine	сытӆ	腱	მყესი	ян, ӆон		шандас, бүлх	сіңір	ujaloq, ujalu	reh	ನರ	현	жила	вез	jänneh	nervus	хьхьа	кьуру дамар	sūoŗ	sausgyslė	dzīsla	коське сан	шӧн, кӱсе́н	സ്നായു	ca	та̄н	кукшышӱн	коське сан	соӈкуо, таӈ	т’оӈс, т’оӈр̌	pees	sene	nivel	хъиутæ, нуар	پله	زردپی	ścięgno	tendão	tendon	сухожилие, жила, тетива	иҥиир	suotna	тэн, чынты	сӯнн	šľacha	kíta	soene, gåårtenje	suodna	suoṇâ	suõnn	dell	sena	தசைநார்	స్నాయువు	kiriş	сеңер	вуж	сухожилля	tomir	jände	шүрүсн	чоӻудиӈдьии	тэ̇(н)	iŋďī
Seite::N	аган	лъэны́къу	utorosam	alu-m angaa	جانب	рахъ	tərəf, yan	яҡ	бок	страна	পার্শ্ব	tu	-pat	хажуу, тээ	costāt, banda	aгӏo	гытолгыи	面	strana	аяк, ен, айӑк	ochr	side	шали	пу	Seite	pool	πλευρά	side	кео	costado, lado	туӈа	albo	олдон	kylki, sivu	côté	taobh	калта̄	צד	ओर, तरफ़	strana, bok	oldal, fél	կողմ	hlið	lato, parte	касоӈ	横	მხარე	пелак		тал, этгээд	бүйір, жақ	saneraq	rûpel	ಪಕ್ಷ	옆면	ладор	бок, ӧтарладор	puoli	latus	чулухалу, чул	пад	kiļg	šonas, pusė	sāns	пяле	ӧ́рдыж	വശം	ergi, ashan	па̄лэ	öрдӹж	ён, чире	кәи	эр̌ӄ	kant, zijde, zij	side	puoli	фахс	اړخ, مخ	طرف	bok, strona	lado	latură	сторона	сирэй, өрүт	bealli	ӄё, пеляк	е̄ммьне, пе̄лль	strana, bok	bòk, strán	bielie	sijddo	ertti	jeä´rtt	anë	sida	பக்கம்	ప్రక్క	yan, taraf	як	пал	сторона	yon	kül'g, pol'	хәврһ, тал, хаҗу	лааӻар, ньуӈурэ	хэв	ńugerə
Silber::N	аразны	тыжьы́н	shirokani	silimla-x́	فضة	гӏарац	gümüş	көмөш	сребра	сребро	রৌপ্য	arc'hant	burí	мүнгэн	plata	дети		银	stříbro	кӗмӗл	arian	sølv	арц	укру	Silber	hõbe	ασήμι, άργυρος	silver	онэй	plata	серебро	urrezuri, zilar	мэӈун	hopea	argent	airgead	мэӈгун	כסף	चाँदी, रजत	srebro	ezüst	արծաթ	silfur	argento		銀	ვერცხლი	сел ох	серебра	мөнгө	күміс	siilviuvoq	zîv	ಬೆಳ್ಳಿ	은	язісь	эзысь	hopie	argentum	арцу	гимиш	õ’bdõ	sidabras	sudrabs	сия́	ший	വെള്ളി	menggun	ся̄лголн	ши	сия	серыбыры	тото	zilver	sølv	hobju	ӕвзист	سپین زر, نقره	نقره	srebro	prata	argint	серебро	үрүҥ көмүс, көмүс	silba	серебро	сыллп	striebro	srebró	sïlpe	silbba	silbâ	silbb	argjend	silver	வெள்ளி	వెండి	gümüş	көмеш	азвесь	срібло	kumush	hobed	цаһан мөңгн, мөңгн	йариньэйдуо	ненэй	čereurō
Sinn::N	аҵакы	мэхьанэ	ibehe, ikkewe	qala-x́	معنى	магӏна	məna	мәғәня	сэнс	смисъл	পদার্থ	ster		удха	sentit, solta	маьӏна		感觉	smysl	пӗлтерӗш, тупсӑм	ystyr	mening, betydning	мягӏна	магӏна	Sinn	tähendus	νόημα	meaning	би ук	significado, sentido		zentzu	со̄ды, бивук	merkitys	sens	brí, ciall		משמעות, מובן	अर्थ	značenje, smisao	értelem	իմաստ	merking	significato, senso		意味	მნიშვნელობა			утга	маныз, мағына, мән, мән-мағына	isuma	aqil	ಅರ್ಥ	센스	ылӧс	мог, вежӧртас	merkitys	sensus	мяъна	мана	mēļ	prasmė	nozīme	ён	смысл	അർത്ഥം	jorin	номт	кын	толк, смысла	нәмтүбся		betekenis	betydning, mening	merkičys	нысаниуæг	معنی	مفهوم, معنا	zmysł	significado, sentido	înțeles, sens	смысл	суолта	mearkkašupmi, mēinnet	ярак	юрт, то̄ӆӆк	zmysel	pomèn, smísel	mïele, våajnoe	sisadno, mierkkidus	me'rhâšuṃe, mieḷâ	miõll	kuptim	mening, betydelse	அர்த்தம்	అర్థము	anlam	мәгънә	смысл	значення, зміст	ma'ni	jüvä	учр-утх	аруун мольғал	ӈэва	
Ski::N	ашəаҩа, ашьахаха	лыжэхэр			زلاجة	лыжаби	xizək	саңгы	лыжа	ски	শী	ski		сана	esquí	когсалаз	тигыт	雪板	lyže	йӗлтӗр	sgi	ski	лыжаби	лижа	Ski	suusk	σκι	ski	лоба	esquí	лыжат	eski	суксилла	suksi	ski	scí	сокта	מגלשים	स्की	ski, smučka	sí	դահուկ	skíði	sci		スキー	თხილამური	ӆох	асьлеӈ	цана	шаңғы	ataarut	lakan	ಜಾರುಪಟ್ಟಿ	스키	лямпа	лызь	suksi	narta	лижарду		līšt	slidė	slēpe	сокс	е́че	ഹിമപാദുകം	suntaha	ёса	ечӹ	сокс	тутә	лаӄ	ski	ski	suksi	къахдзоныгътæ, лыжæтæ	سکي	اسکی	narta	esqui	schi	лыжа	хайыһар	sabet	толчы	са̄вехь, коаллас	lyža	smučí	treavka	sabek	saaveeh	koolâs	ski	skida	பனிச் சறுக்கல்	స్కీ	kayak	чаңгы	куас	лижа	chang'i	suks'	лыҗ	хайсар	ламба	
Sonne::N	амра	тыгъэ	tokap-chup, chup	aǵadax́	شمس	бакъ	günəş	ҡояш	сонца	слънце	সূর্য	heol	sa	наран	sol	малх	тиркытир	太阳	slunce	хӗвел	haul	sol	бархӏи	бухъ	Sonne	päike	ήλιος	sun	кая	sol	сиӄиныӄ	eguzki	сигун, дылача̄	aurinko	soleil	grian	сиун	שמש	रवि, सूरज, सूर्य	sunce	nap	արեւ	sól	sole	лач	太陽	მზე	най, хатӆ	и	нар	күн	seqineq	roj	ಸೂರ್ಯ	해	шондi	шонді	päivä	sol	баргъ	рагъ	pǟva	saulė	saule	ши	ке́че	സൂര്യൻ	šun	хотал	кечӹ	чи	коу	к’еӈ	zon	sol	päivy, päiväine	хур	لمر	آفتاب, خورشید	słońce	sol	soare	солнце	күн	beaivváš	челы	пе̄ййв	slnko	sónce	biejjie	bæjvásj	piäiváš, peivi	pei´vv	diell	sol	சூரியன்	సూర్యుడు	güneş	кояш	шунды	сонце	quyosh	päiväine	нарн	йэрпэйэ	хаердˮ(д)	jeľōďə
Spaten::N	ажыга	къазгъы́р	kani-toitap	asugasi-x́	مسحاة	бел	kürək	көрәк	лапата, жалязняк	лопата	কোদাল	pal	bel -ćáṅ	хүрзэ	pala	бел	вылпы	铁锹	rýč	кӗреҫе	rhaw	spade	кӏатӏа	аку	Spaten	labidas	φτυάρι	spade	сԑа	pala	пыкутаӄ	burdinpala	улэ̄вӯн	lapio	bêche	rámhainn, spád	чэу, чэвэ	את	कुदाल	ašov	ásó	բահ	spaði	vanga	учкпэн	スコップ	ნიჩაბი	сар	састоп	хүрз	күрек	nivaataq	mer	ಗುದ್ದಲಿ	가래	зыр	зыр	lapie	pala	бил	ппер	lä’bḑi	lopeta, kastuvas	lāpsta	ка́йме	ко́льмо	തൂമ്പ	coo	ма̄нт	кольмы	койме	кайбу	ӄ’ар̌	schop	spade	labju	бел	یوم	بیل	rydel	pá	hârleț, cazma	лопата	күрдьэх	goaivu	лаппа	куаййв	rýľ	lopáta	gåajvoe	goajvvo, spádá	kuái'vu	kuäivv	lopatë	spade	மண்வெட்டி	పాఱ	bel	көрәк	лопатка	заступ	bel	labid	күрз	эримэдавйэ	сива	
Speise::N	афатə	шхыныгъу	ibehe	qaqa-x́	أكل	квен	xörək	аш	страва	ястие	খাদ্য	meuz	qhuráak, ṭókur	эдеэн	plat	юург	роолк’ыл	菜肴	jídlo	ҫимӗҫ, апат	saig	ret	беркала, хурег	бишани	Speise	roog	φαγητό	dish	одьдуз, ома	plato		jaki	дептылэ	ruoka	plat	mias		ארוחה, מאכל	खाना, व्यंजन	jelo	étel	խորտիկ, կերակուր	réttur, matarréttur	piatto		料理	საჭმელი	ӆэвпас, ӆэтот	илиӈись	идээ	тағам	nerisassat	xwarin	ಊಟ	음식물	сёян	сёянтор, сёян	ruoka	cibus	дукра	хуьрек	sīemnāiga	patiekalas	ēdiens	ярхцама	ко́чкыш	ഡിഷ്	fan, badan	тэ̄нут	няня	ярсамопель	ӈәмсу		spijs	matrett	syömislaji	хӕринаг	خواړه	خوراک	potrawa, jedzenie	prato	fel de bucate, bucate	блюдо, кушанье	аһылык	biebmu	апсы	по̄ррмушш	jedlo	jéd	beapmoe	biebbmo	määlis	aasâs, porrmõš	gatesë	maträtt	உணவு வகை	ఆహారము	yemek	ризык	сиён	страва	taom	sömine	хот		ӈӑвӑр	
Spiegel::N	асаркьа	гъундж		ukuulux́	مرآة	матӏу	güzgü	көзгө	люстра	огледало	আয়না	melezour	aíina	гэрэл шэл, толи	mirāll	куьзга	виилгитэнэн’	镜子	zrcadlo	тӗкӗр, куҫ кӗски	drych	spejl	дяхӏимцӏала	чӏикай	Spiegel	peegel	καθρέφτης	mirror	зеркал	espejo		mirail	ханячӯвка̄, зеркало	peili	miroir, glace	scáthán	паня̄чико	מראה	आईना, दर्पण	ogledalo, zrcalo	tükör	հայելի	spegill	specchio	әӆчкэ’ноӈ	鏡	სარკე	веш ватты ох, зеркало	дэськъганөксь	толь	айна	tarrarsuut	eynik	ಕನ್ನಡಿ	거울	зеркало	рӧмпӧштан	peili	speculum	дагьани	гуьзгуь	spīegiļ	veidrodis	spogulis	ванома	вошто́нчыш	കണ്ണാടി	toli, buleku	вӣльт суснэ ке̄р	тӹгӹр	чавачамо	хорә ӈәтәубса		spiegel	speil	zirkalo	айдæн, кæсæн	ایینه, هنداره	آینه	lustro	espelho	oglindă	зеркало	сиэркилэ	speajal	зеркало	зе̄ркал, кыффкэмка̄ррь	zrkadlo	zrcálo, ogledálo	guelmiedahke	spiedjil	speeijal	suei´mkar	pasqyrë	spegel	கண்ணாடி, ஆடி	అద్దము	ayna	көзге	синучкон	дзеркало	ko'zgu	zerkol	толь	ньаачэйуонии	сядобэрцьʼ(н)	
Spiel::N	ахəмарра	еоны́р, къегъэӏоны́р, джэгуны́р	hechiri	laaglagaada-x́	لعب	расанди, хӏай	oyun, tamaşa	уйын	гульня	игра	খেলা	c'hoari	hawás	наадалган	joc	ловзар	овэчватгыргын	游戏	hra	вӑйӑ	chwarae	leg	хӏяз	кӏешу	Spiel	mäng	παιχνίδι	game	сԑнку	juego	наӷаӄ	jolas	эвӣн	peli, leikki	jeu	cluiche	хупин	משחק	खेल, क्रीड़ा	igra	játék	խաղ	leikur	gioco	ма’ӆэс	遊び	თამაში	ёнтапса, ёттот	аниӈ	тоглоом, наадам	ойын		lîstik	ಆಟ	무리	орсӧм	ворсан	leikki, peli	ludus	тӏуркӏу	къугъун	mäng	žaidimas, žaismas	rotaļa	налхксема, налхкома	модма́ш, мо́дыш	കളി	efin	ёнгил	мадыш	налксема	санәбси		spel	spill, lek	elostus	хъазт	لوبه	بازی	zabawa, gra	jogo	joc	игра	оонньуу	speallu	сөнтыра	сӣрр	hra	ígra	spïele, stååkedimmie	stoagos, spella	leikkâ	siõrr	lojë	lek, spel	விளையாட்டு	ఆట	oyun	уен	шудон	гра	o'yin	vänd	наадн	йуорэ	сянако	
Spitze::N	аҧынҵа	пакӏэ	etu	chutx-	سن	тӏогь	uc	ос	кончык	острие, връх	ডগা	begell	buúri	үзүүр	punta	ралла	чавтыткын	尖	špička, hrot	вӗҫ	blaen	spids		кичу	Spitze	teravik	μύτη	tip	уб	punta		punta	мудан, сувэрэ̄	kärki, terä	cime, pointe	gob, barr	дуэ	קצה	नोक	vrh, šiljak	csúcs	ծայր	oddur	punta	оӆхэн	先頭	წვეტი		хаттат, хат	үзүүр	ұшы	inngik	derzî	ತುದಿ	끝, 참단	йыв	йыв	n'okka, nenäni	cacumen	мицӏ	кӏвенкӏв	pǟ, špits	priekis, priešakys	smaile, galotne	пря	вуй	അഗ്രം	uju, bonggo	талях	вуй	пряне, пе	нөмсә		punt, spits	spiss	n'okkaine, agjaine	бырынкъ	څوکه	سر, نوک	ostrze	ponta	vârf, creștet	кончик	чыпчаал	geahči	ӱкы	кя̄женч	hrot, špička	óst	gietjie	snjuhtje, gihttje	picci, keeči	ǩie´čč	majë	spets	முனை	మొన	uç, baş	оч	йыл	кінчик	uch	agjaine	үзүр		мал	pömelijə
Sprache::N	абызшəа	бзэ	itak	tunu-x́	لغة	мацӏ	dil	телмәр, тел	мова	език	ভাষা	yezh	zabáan	хэлэн	llēngua	мотт	йилыйил, йилиил	语言	řeč, jazyk	чӗлхе	iaith	sprog	мез	мец	Sprache	keel	γλώσσα	language	база	lengua	улю	hizkuntza	турэ̄н	kieli	langue, langage	teanga	хэсэ	לשון	भाषा, ज़बान	jezik	nyelv	լեզու	mál, tungumál	linguaggio, lingua	крвэӆхатас	言語	ენა	ясаӈ	ӄаʼ	хэл	тіл	oqaatsit	ziman	ಭಾಷೆ	말	кыв	кыв	kieli	lingua	маз	чӏал	kēļ	kalba	valoda	кяль	йы́лме	ഭാഷ	gisun	нелм, ла̄тыӈ	йӹлмӹ	кель	сиәде	туғс	taal	språk	kieli	ӕвзаг	ژبه	زبان	język	língua	limbaj, limbă	язык	тыл	giella	эты	кӣлл	jazyk, reč	jêzik	gïele	giella	kieḷâ	ǩiõll	gjuhë	språk	மொழி	భాష	lisan, dil	тел	кыл	мова	til	kel'	келн	аруу	вада	ažū
Spur::N	ашьҭа	лъэуж, ужы	ruwe, kochi	chimi-x́	أثر	лъалкӏ	iz	әҫер	след	диря, следа	চিহ্ন		asár, darák	мүр, сараа	traça	лар	вины	踪迹	stopa	йӗр	ôl	spor	асар	ругъу	Spur	jälg	ίχνος	track	дязаа	huella	тума	lorratz	ӯдя	jälki	trace	rian	покто	עקבה	पद-चिह्न, सुराग़	slijed, trag	nyom	հետք	spor	traccia	ӆкзаном	跡	კვალი	юш, пурантапса	булӷөт, булок	мөр	із	tumaa	rêç	ಜಾಡು	발지국	туй	туй	jälki	vestigium	ша	гел	tī’edõz	pėdos, pėdsakas, vėžė	pēda	пильгоки́	кыша́	ചുവട്	songko	ла̄гылпатта по̄с, лё̄х	кишӓ	челькс, пильгеки	ӈуодеә		spoor	spor	jälgi	фæд	نښه	رد	ślad	vestígio, pista	dâră	след	суол	luodda	мэтты	кӣйй	stopa	sléd	gïeje	joavnes, luodda	luod'dâ	ǩiõjj	gjurmë	spår	சுவடு	జాడ	iz	эз	пытьы, бервыл	слід	iz	jäl'g	мөр	йавул	ӈуˮ(д)	čugö
Staat::N	аҳəынҭқарра	къэралыгъу	moshiri, kotan		دولة	пачалихъ	dövlət	дәүләт	дзяржава	щат, държава	রাষ্ট্র	stad	riaasát	гүрэн	estat	пачхьалкх	государство	国家	stát	патшàлӑх	gwladwriaeth	stat	пачалихъ	паӏчалихъ	Staat	riik	κράτος, πολιτεία	state		Estado	государство	estatu	государство	valtio	État	stát		מדינה	राज्य, राष्ट्र	država	állam	պետություն	ríki	Stato	государство	国家	სახელმწიფო	государство	государство	төр, гүрэн	мемлекет		dewlet	ರಾಜ್ಯ	국가	государство	государство, канму	valtakunta	res publica	паччахӏлугъ	государство, пачагьлугъ	valst, vǭļikštõks, vald	valstija	valsts	государства	кугыжа́ныш	രാജ്യം	gurun	госуда̄рство	кугижӓншӹ	государства			staat	stat	valdukundu, valdivo	паддзахад	دولت	دولت	państwo	Estado	stat	государство	государство	stáhta	государства	государствэ, ланнҍ	štát	držáva	staate	stáhtta, rijkka	staatâ	riikk	shtet	stat	நாடு	రాజ్యము	devlet	дәүләт	кун	держава	davlat	valdkund	государств		государство	
Stab::N	акьат	бэщ кӏы́хь	kuwa	ayaaǵu-x́	قضيب	гӏер	əsa, şüvül	ҡолға	шост	прът	যষ্টি	bazh	daróġo	модон	bastó	гӏаж	кэк’унэн’	棍	hůl	шӑчӑ	ffon	stav	чӏалхьа	маӏхъ	Stab	varras	ραβδί	staff	ӈузу	vara, bastón		makila	тыевӯн	seiväs, sauva	bâton	maide, bachall		מוט	लग्गा	šipka, štap	bot	գավազան, ցուպ	prik, stafur	asta		棒	ლატანი	юх	ӄуу	таяг	сырық	ajaappissat	qat	ದೊಣ್ಣೆ	작대기	шест	зир	seiväs	scipio	ччантӏакъу	юрк	vīrba	kartis	zizlis	олгоня	вара́, кашта́	കുറുവടി	teifun, darhūwan	йӣво̄выл	равы	олога	ӈүй		staf	kjepp, stav	seiväs, salgo	хъил	چيخله	عصا	pręt	bastão	prăjină, baston	шест	ураҕас	soabbi	по, мөтыко	суэммьп	palica	pálica	klaahka	soabbe	suáb'bi	suä´b'b	shkop	stav	கம்பு	కఱ్ఱ	baston, sırık	таяк	боды, пуӵ	палиця	gavron	seibaz	шуург	толии	ӈу	jaġiďə
Stadt::N	ақалақь	къалэ́	machiya	tanadguchiigamax	مدينة	шагьар	şəhər	ҡала	горад	град	শহর	kêr	śáar	мүндэр, хото	ciutāt	гӏала	город	城市	město	хула	tref	by	шагьар	шагьар	Stadt	linn	πόλη	town	камоз	ciudad		hiri	город	kaupunki	cité, ville	cathair, baile	хотон	עיר	शहर	varoš, grad	város	քաղաք	borg	città	город	町, 都市	ქალაქი	вош	колет	хот	қала, шаһар	illorpaat, illorpalik	baçar	ಪಟ್ಟಣ	도시	город	кар	linna, kaupunki	oppidum, urbs	шагьру	шегьер	jālgab	miestas	pilsēta	ош	ола́	നഗരം	hecen	ӯс	города	ош	гәрәдә	ӽотаӈ, ӽота	stad	by	linnu	сахар	ښار	شهر	miasto	cidade	oraș	город	куорат	gávpot	ӄэтты	ланнҍ	mesto	mésto	sjeltie, staare	stáda	kaavpug	gåårad, lâ´nn	qytet	stad	நகரம்	పట్టణము	şehir, kent	шәһәр	город, кар	місто	shahar	lidn	балһсн	коорот	мӑрˮ(д)	gōrət
Stamm::N	ашьапы	пкъы	nitumam	chuchagida-x́	جذع	рохти	gövdə	олон, көбәк	ствол	стъбло	স্কন্ধ	kef	karkós	сэмгэи, бзе, племи	tronc	гӏад, тайпа	оттыпойгычьын, уттык’ымчучьын	树干	kmen	вулӑ	boncyff, colfen	stamme			Stamm	tüvi	κορμός	trunk	пя паг	tronco	тымаӈа унаӽсим	enbor	дагача̄н	runko	tronc	tamhan, stoc	мо̄ бэени	גזע	धड़	stablo, deblo	tő, törzs	իրան	stofn	tronco	у’	幹	ტანი	аӈкаӆ	диʼ	иш, гуалин	оқпан, сояу	kanaartaq	bavik	ಕಾಂಡ	대	мыр, кер	пучер	runko	truncus	ттарцӏ	тан	tõ’v	kamienas	stumbrs	ро́нга	йы́тыр	തായ്ത്തടി	da, gurun, hithen	таганэта̄л	пушӓнгӹ тӹнг	рунго	тохи		stam	stamme	rungo	хӕтӕл	ډډ	تنه	pień	tronco	tulpină	ствол	умнас	galda	кэпы	мӯрр, кэ̄ллт	kmeň	dêblo	ståamhpe	mátta	ruŋgo	stokk	trung	stam	அடிமரம்	చెట్టుబోదె	gövde	кәүсә	модос	стовбур	o'simta	tüvi	шилв, һол модн	чилгэ	няӈота	molil
Stange::N	акьат	къорэ́гъ	mukkane-ni	asxut-	عود	гӏер	şüvül	кәртә	жэрдка	прът, върлина	দণ্ড	sparl	gandál	һургааг	vara	гӏуркх	инэнвичгын	杆	tyč, tyčka	шерте	polyn	stang	чӏалхьа	маӏхъ	Stange	latt, teivas	ραβδί, κοντός	pole	ӈузу	percha, vara	тулъюмыӄ	haga	мо̄ка̄н	tanko	perche, barre	polla, cuaille		מוט	बाँस, छड़	motka	rúd, pózna	ձող	stöng	pèrtica, sbarra		棒	ჭოკი	ныр	ӄэрь	сургааг	қада	kaaviffik	sing	ಕಂಬ	장대	потш, зор	потш	riuku, salko	pertica	къазихъ	юрк	dālba	lazda, kartis	maikste	олга	лома́ш	കമ്പ്	moo	пусас сыр	равы, намаш	олга	ӈүй		stang	stang	kangi, aijas	хъил	ډاګه	میله	drąg, żerdź	vara, barra	prăjină, bară	жердь	ураҕас	stággu, stávrá	мөтыко, по	кэ̄ллт, пе̄лльк	tyč	gréd	staavra	hålggå, stággo	čuálgui	kaŋgg	shufër	stång	கம்பம்	స్తంభము	çubuk	колга	пуӵ	жердина	qo'noq	arz'	уньн	нимэндаа	ӈу	pōjə
Staub::N	асаба	сап	mana	duux́	غبار	хӏур	toz	туҙан	пыл	прах	ধুলা	poultr	qhurċ, qhandál	шорой тооһон, тооһон	pols	чан	пин’пин’	灰尘	prach	тусан	llwch	støv	хяса	поӏн, кьиди	Staub	põrm	σκόνη	dust		polvo	агыпсюӄ	hauts	на̄мнэ	pöly	poussière	deannach, dusta	бурэхин	אבק	धूल	prah, prašina	por	փոշի	duft, ryk	polvere	˚пиӈэсҳӄ	埃	მტვერი	рав		тоос	шаң	pujualanerit, pujoralanerit	toz	ದೂಳು	먼지	бус	бус	pöly	pulvis	ххит	руг	põrm	dulkės	putekļi	пуль	пура́к	പൊടി	buraki, buraki toron, furanaha	порыс	пырак	пуль	лиле, дяӈ		stof	støv	pöly	рыг	خاوره, ګرد	گرد, غبار	kurz, pył	pó	praf	пыль	быыл	dopmu	туспо	кэ̄ббьй	prach	práh	tsumhtsie, heblie	dubme	kovjâ	põõ´l	pluhur	damm	தூசி	దుమ్ము	toz	тузан	пыль	пил	chang	pölü	тоосн	өнидьэ	сибя̆	
Stein::N	ахаҳə	мыжъо́	shuma	nux́	حجر	гьецӏо	daş	таш	камень	камък	ঢিল, প্রস্তর	maen	dádan	шулуунай, шулуун	pedra	тӏулг	выквылгын, выквын	石头	kámen	чул	carreg	sten	къаркъа	гамачӏ, гъуӏл	Stein	kivi	πέτρα	stone	пу	piedra	уйӷак	harri	хисэ	kivi	pierre	cloch	дёло	אבן	पत्थर	kamen	kő	քար	steinn	pietra, sasso	˚вапк’ол	石	ქვა	кев	тыʼсь	чулуу	тас	ujarak	kevir	ಕಲ್ಲು	돌	из	из	kivi	lapis	чару	къван	kiv	akmuo	akmens	кев	кӱ	ശില, കല്ല്	wehe, wehengge	ахвтас	кӱ	кев	хуалә	паӽ	steen	stein	kivi	дур	ډبره	سنگ	kamień	pedra	piatră	камень	таас	geađgi	пӱ	ке̄ддҌк	kameň	kámen	gierkie	giergge	keđgi	ǩeä´dǧǧ	gur	sten	கல்	ఱాయి	taş	таш	из	камінь	tosh	kivi	чолун	хайль	пэ	
Stern::N	аеҵəа	жъуагъо́	nochiu	sda-x́	كوكب, نجم	цӏва	ulduz	йондоҙ	зорка	звезда	নক্ষত্র	steredenn	asií	мүшэн, одон	estel, estrella	седа	анатлын’ын, ан’атлын’ын	星	hvězda	ҫӑлтӑр	seren	stjerne	ури, зубари	цӏа, ца	Stern	täht	αστέρι, άστρο	star	позсэй	estrella	иӷалыӄытаӄ	izar	о̄сикта, о̄сика̄кта	tähti	étoile	rinn, réalta	хосикта	כוכב	सितारा, तारा	zvijezda	csillag	աստղ	stjarna	stella	эӈэзэчҳ	星	ვარსკვლავი	хус	ӄог	од	жұлдыз	ulloriaq	stêrk	ಚುಕ್ಕಿ	별	кӧдзыв	кодзув	tähti	sidus, stella	цӏуку	гъед	tēḑ	žvaigždė	zvaigzne	тяште	шӱ́дыр	നക്ഷത്രം	usiha	сов	шӹдӹр	теште	хотәдиә	уньғр̌, уньғур̌	ster	stjerne	tiähti	стъалы	ستوری	ستاره	gwiazda	estrela	stea	звезда	сулус	násti	ӄищӄя	та̄ссьт	hviezda	zvézda	daasta, naestie	násste	täsni	tä´snn	yll	stjärna	நட்சத்திரம்	నక్షత్రము	yıldız	йолдыз	кизили	зірка	yulduz	tähtaz	одн	паӻадьиидэкуу	нумгы	jurguďējə
Stiefel::N	амагə	щазым	ker	uliix	جزمة, حذاء طويل	этек, чакма	çəkmə	итек	бот	ботуш	বুট	botez	kóori	гутал, сабхи	bota	этка	танн’ыплякылгын	靴子	holínka	атӑ	botasen	støvle	чакма	чакмай	Stiefel	saabas	μπότα	boot	сабоги	bota	сапога	bota	унта, сапог	saapas	botte	buatais		מגף	बूट	čizma	csizma	երկարաճիթ կոշիկ	stígvél	stivale		ブーツ	ჩექმა	сопек	сягдэн	гутал	етік	kamik	çizme, gizme	ಬೂಟು	장화	сапог	сапӧг	suappua	pero, caliga	чакма	чекме	sǭpkõz	auliniai batai	zābaks	кя́ме	кем	ബൂട്ട്	gūlha	со̄пак	кем	кем	чаркии		laars	støvel	suappai, kengy	цырыхъхъ	موزه	چکمه	kozak, but	bota	cizmă	сапог	саппыкы	sáhpis, sáppat	сяпяк	са̄ххпе	čižma	škórenj	steeblege	stiebil	steevvil	sa´ppi	çizme	stövel	காலணி	బూటు	çizme	итек	сапег	чобіт	botinka	sapug	һосн		хуты	mure
Stimme::N	абжьы	макъэ́	hawe	amilg-	صوت	гьаракь	səs	тауыш	голас	глас	স্বর	mouezh	-ćhár	дуун, хоолой	veu	aз	к’улик’ул	声音	hlas	сасӑ	llais	stemme	тӏама	гьаракь	Stimme	hääl	φωνή	voice	бачи, со	voz	ӄаӷи	ahots	дылган	ääni	voix	guth	дилган	קול	स्वर, आवाज़	glas	hang	ձայն	rödd	voce	голос	声	ხმა	тур сый	дух	дуу	үн, дауыс, әуен	qarluuseq, erinaq	pejn	ಧ್ವನಿ	목소리	голос	гӧлӧс, вом шы	iäni	vox	чӏукӏа, чӏу	ван	ēļ	balsas	balss	вайгяль	йӱк	സ്വരം	jilgan	турсуй	юк	ваигель	дямуо	ыу	stem	stemme	iäni	хъӕлӕс	غږ, اواز	صدا	głos	voz	glas	голос	куолас	jietna	чары	ӣнн	hlas	glás	tjoeje	jiedna, giella	jieṇâ	jiõnn	zë	stämma	குரல்	కంరథ్సని	ses	тавыш	куара	голос	ovoz	än'	дун	анадэльил	сё	
